valorObjetivoLento,valorObjetivoRapido,porcentajeRed,Grupo,Tipo
130.2360983,131.6463988,35.17854144,100,Lenta
126.6822,128.0553977,36.52646246,100,Lenta
125.4539,126.7911986,37.5002055,100,Lenta
120.4928,121.2899022,45.18432587,100,Lenta
118.2612,119.4885962,35.96266747,100,Lenta
128.3798973,129.5952998,36.45578764,100,Lenta
122.5801995,123.6197972,45.14092042,100,Lenta
111.364,112.9590972,50.73280986,100,Lenta
127.4859,129.2508978,33.37327895,100,Lenta
122.966,123.6689,42.20512232,100,Lenta
125.1074,125.8888,37.57794812,100,Lenta
127.7935,128.9580952,26.74705412,100,Lenta
124.5519996,125.5710992,33.42114175,100,Lenta
123.3528,124.8068999,37.63919011,100,Lenta
122.3314,123.2410296,37.62115625,100,Lenta
121.471499,122.7323974,38.6172456,100,Lenta
120.4083,122.4207989,43.50582263,100,Lenta
120.7035,121.5929967,40.80378962,100,Lenta
126.22,127.6283997,38.03514157,100,Lenta
125.3020998,126.9588988,41.0779776,100,Lenta
130.3914,131.5828999,38.18903741,100,Lenta
125.7737996,126.9372936,28.29336313,100,Lenta
124.8323,125.9893989,39.19414117,100,Lenta
126.7653,127.8203979,42.36502655,100,Lenta
126.2355,127.6140999,42.47736196,100,Lenta
126.5621999,127.3650963,42.75912853,100,Lenta
123.8336,124.8276964,34.20284574,100,Lenta
131.5306,132.4159944,36.5171926,100,Lenta
123.5654,124.8461977,39.21023994,100,Lenta
123.6882,125.2009944,40.51867661,100,Lenta
119.943,121.3533982,43.93767019,100,Lenta
115.6338981,116.6319999,37.24896876,100,Lenta
127.0405,128.4172942,41.2487369,100,Lenta
120.9318,122.1700999,44.2350054,100,Lenta
124.5637,125.7518992,35.77644722,100,Lenta
123.7689,125.0580979,41.31099051,100,Lenta
121.3281,122.9823973,33.82402032,100,Lenta
122.2153,123.6112975,39.83812476,100,Lenta
125.3872,126.5690418,39.97030764,100,Lenta
124.0953999,124.9976943,42.24580469,100,Lenta
127.9867999,129.1044991,40.83759499,100,Lenta
127.8763,129.4618982,51.12926088,100,Lenta
135.0672,136.3469719,34.16908373,100,Lenta
126.212,127.5370944,37.45589623,100,Lenta
125.0262,126.038095,44.92640626,100,Lenta
116.3707,117.5968997,46.90073641,100,Lenta
127.0302971,128.2775933,43.31901903,100,Lenta
122.3886,123.8244981,44.08078339,100,Lenta
125.1522,126.2237038,37.71746871,100,Lenta
126.8541982,128.1492003,32.86063089,100,Lenta
123.1388,124.6089991,42.31712773,100,Lenta
120.482,121.5342992,44.96548523,100,Lenta
111.5783,112.8338996,40.486971,100,Lenta
130.9631,132.0523972,39.89251038,100,Lenta
130.128,131.5938985,44.61594249,100,Lenta
128.9756,130.5557992,33.19877332,100,Lenta
122.3924,123.4388984,39.17982076,100,Lenta
122.3135974,123.2104991,36.72726616,100,Lenta
124.0688,125.0977987,52.68971861,100,Rapida
128.9610995,129.7072982,42.85956658,100,Rapida
130.7022,131.8645,41.49665146,100,Rapida
124.8401,125.9304961,37.45533358,100,Rapida
124.3448991,125.4783973,44.84352102,100,Rapida
121.6102,122.8399459,47.70057592,100,Rapida
119.4284,120.5335987,52.1077832,100,Rapida
112.4162982,113.771053,48.84553806,100,Rapida
115.2561999,116.5622985,49.53230914,100,Rapida
119.9474,121.6884947,55.70834235,100,Rapida
127.9193,129.1006866,51.14374992,100,Rapida
122.4399,123.6418984,44.07742814,100,Rapida
129.9016,131.1856973,48.40433338,100,Rapida
120.6416992,121.9091946,48.79524828,100,Rapida
125.4421,126.7634998,43.50083689,100,Rapida
121.5516,122.8595974,51.66855464,100,Rapida
116.938,118.1309965,52.64299926,100,Rapida
119.8735,120.878795,49.67045016,100,Rapida
125.1394,126.5613998,45.5562549,100,Rapida
126.4904,127.6588992,44.83196022,100,Rapida
120.0067,120.9459986,45.41527348,100,Rapida
130.9847,132.0583,45.24482999,100,Rapida
121.7342,122.7955992,50.24507642,100,Rapida
124.2855,125.3581,54.49198769,100,Rapida
122.5974,123.8859932,41.92295969,100,Rapida
120.1971,121.2290817,53.72840444,100,Rapida
126.7627,128.1281995,45.73786633,100,Rapida
122.4428,123.9588887,43.20599071,100,Rapida
126.6111996,127.9866991,39.09861383,100,Rapida
129.1086,130.045,46.44254451,100,Rapida
128.0655,129.0829969,48.53041276,100,Rapida
